titulo,autores,journal,ano,volume,paginas,doi,data_download,area_tematica,incorporado_em_documento,data_incorporacao
Primary Septal Cartilage Graft for Unilateral Cleft Rhinoplasty: 10-Year Follow-Up Results,Ueno K et al.,Plast Reconstr Surg,2026,157,563e-572e,10.1097/PRS.0000000000012525,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Aspects and Concepts of What I Preserve in Rhinoplasty,Sergesketter AR et al.,Plast Reconstr Surg,2026,157,496e-503e,10.1097/PRS.0000000000012482,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Positioning the Nasal Tip in Rhinoplasty,Mattos D et al.,Plast Reconstr Surg,2025,156,606e-615e,10.1097/PRS.0000000000012163,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Surgical and Patient-Reported Outcomes of Fresh Frozen Homologous Costal Cartilage in Rhinoplasty,Taylor CM et al.,Plast Reconstr Surg,2026,157,28e-37e,10.1097/PRS.0000000000012303,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Grafting in Rhinoplasty: A Survey of Surgeon Preferences When Donor Material Is Limited,Rohrich RN et al.,Plast Reconstr Surg,2026,157,54-61,10.1097/PRS.0000000000012301,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Nasolabial Flap Variations and Alternatives in Nasal Ala Reconstruction,Andresen JR et al.,Plast Reconstr Surg,2026,157,553-565,10.1097/PRS.0000000000012409,2026-03-28,Rinoplastia,,
Retrospective Review of Open Tip Plasty for Bilateral Cleft Nasal Deformity,Mohan VC et al.,Plast Reconstr Surg,2025,156,30S-40S,10.1097/PRS.0000000000012370,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Three-Dimensional Efficacy Evaluation of Nasal Symmetry in Unilateral Cleft Lip Primary Repair,Xu Y et al.,Plast Reconstr Surg,2025,156,466-475,10.1097/PRS.0000000000011975,2026-03-28,Rinoplastia,,
Local Tranexamic Acid vs Placebo in Patients Undergoing Septorhinoplasty: Meta-analysis of RCTs,Di Martino L et al.,Aesthet Surg J,2025,45,1220-1226,10.1093/asj/sjaf172,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Scalpel vs Electrocautery for Upper Lateral Cartilage Contouring in Dorsal Preservation Rhinoplasty,Şibar S et al.,Aesthet Surg J,2025,46,16-23,10.1093/asj/sjaf180,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Diced Cartilage Grafts Semi-wrapped in Rectus Abdominis Fascia for Nasal Dorsum Augmentation,Niu K et al.,Aesthet Surg J,2025,46,24-30,10.1093/asj/sjaf183,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
Integrated Biomimetic Groove Graft for Moderate-to-Severe Saddle-Nose Deformity Correction,Duan Y et al.,Aesthet Surg J,2025,45,1115-1124,10.1093/asj/sjaf134,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
One Profile to Rule Them All? A Neural Network Analysis of the Homogenizing Effect of Rhinoplasty,Khaw KL et al.,Aesthet Surg J,2025,45,1012-1016,10.1093/asj/sjaf109,2026-03-28,Rinoplastia,,
Thirty-Year Experience in Augmentation Rhinoplasty Using Silicone Implants,Kwan E et al.,Aesthet Surg J,2025,45,887-892,10.1093/asj/sjaf102,2026-03-28,Rinoplastia,12-1-Rinoplastia.docx,2026-03-28
